1.400,Vivendi shares closed 1.9 percent at 15.80 euros in Paris after falling 3.6 percent on Monday.,"In New York, Vivendi shares were 1.4 percent down at $18.29."
3.600,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va."
3.000,Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.,Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.
1.600,"""Tony's not feeling well,"" Spurs coach Gregg Popovich said.","We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday."
3.200,Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy."
3.800,"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.
4.200,The next court session will be when the three-judge tribunal announces its verdict in mid-February.,The court's three-judge tribunal was expected to give its verdict next February.
3.000,The consensus among Wall Street analysts was for a loss of 28 cents a share.,Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.
4.000,"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health."
4.750,Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.,Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.
3.533,The compensation committee will prohibit securities industry directors from sitting on it.,The exchange also said its five-person compensation committee will consist only of directors from outside the securities industry.
1.250,Q: Can I buy coverage for prescription drugs right away?,Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.
4.000,"Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.",Shares of Mandalay closed down 8 cents at $29.42 Thursday.
3.000,"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.
2.600,"The dollar was last at $1.1149 to the euro, close to its strongest level since April 30.","The dollar pushed as high as $1.1115 to the euro in early trade, extending Tuesday's one percent rally to hit its strongest level since April 30."
3.500,"The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.","The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999."
1.500,"A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.","A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department."
2.000,He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.,But the North Korean nuclear crisis has dominated his time in office.
3.500,"A rebel who was captured said more than 2,000 insurgents were involved in the attack.","A captured rebel said 2,100 combatants had been involved in the offensive."
3.000,"Kyi, a U.N. envoy says, as Japan adds to growing international pressure by saying it will halt its hefty economic aid unless Suu Kyi is freed.","JAPAN added to growing international pressure on Burma yesterday, threatening to halt its hefty economic aid unless the military government released pro-democracy leader Aung San Suu Kyi."
4.750,"Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.","Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations."
3.400,"Mr Eddington warned yesterday that the future of the airline was ""in the hands of the negotiators"".","""The future of BA is in the hands of the negotiators,"" Eddington told British Broadcasting Corp. television on Sunday."
3.400,"""Both of these kids are in wonderful physical condition right now,"" he said during a press briefing at the hospital.","""Both of these kids are in wonderful physical condition right now,"" said Goodrich, also director of pediatric neurosurgery at the Children's Hospital at Montefiore."
4.250,"On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.",The foreign bits are recognized by other cells that realize it is infected and kill it.
3.800,Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday."
3.000,Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,The health department spokesperson added the department is following Centers for Disease Control protocol.
3.000,"Schools Chancellor Joel Klein said the push for higher standards and accountability ""is showing results.""",Schools Chancellor Joel Klein said he was pleased by the results.
4.600,One witness told Anatolian he saw the plane on fire while it was still in the air.,One witness told the Anatolian news agency he saw the plane on fire in mid-air.
3.000,He proposed a system under which it would take fewer and fewer votes to overcome a filibuster.,Frist proposed a process in which it would take gradually fewer votes to overcome filibusters preventing final votes on judicial confirmations.
4.250,"Hormone replacement therapy that combines estrogen and progestin doubles a woman's risk of breast cancer, a British study of more than a million women has found.","A major British study has added to the evidence that hormone replacement therapy increases the risk of breast cancer, especially when women receive a combination of estrogen and progestin."
1.800,"Barbini's comments came Tuesday, the second day of the Ministerial Conference and Expo on Agricultural Science and Technology.",U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday.
2.800,"Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents."
1.250,Lawtey is not the first faith-based program in Florida's prison system.,But Lawtey is the first entire prison to take that path.
3.750,The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.,"Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring."
3.750,"The giant rock was first observed on August 24 by Lincoln Near-Earth Asteroid Research Program, based in Socorro, New Mexico.","The rock was first observed by the Lincoln Near Earth Asteroid Research Program, also known as LINEAR."
3.750,"""We need to change old habits and seriously rethink business-as-usual.""","He urged employees to ""avoid complacency"" and to ""change old habits and seriously rethink business-as-usual."""
3.500,"""These despicable acts were committed by killers whose only faith is hate,"" Bush said, adding that the United States will find the killers.",These despicable acts were committed by killers whose only faith is hate and the United States will find the killers and they will learn the meaning of American justice.
4.600,"There are a total of 659 women enrolled at the academy, the report said.",There were 659 women enrolled at the academy at the time of the survey.
3.250,"It is a national concern that will touch virtually every American,"" Abraham said.","The impact of natural-gas shortages ""will touch virtually every American,"" Energy Secretary Spencer Abraham warned yesterday."
1.333,"In the United States, 20.7 percent of all women smoke.","Nevada is where the most women smoke, 28 percent."
2.500,It has a margin of error of plus or minus 4 percentage points.,That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.
3.250,"Shares of MONY were gaining $2.57, or 9%, to $31.90 in after-hours trading on Instinet.",MONY shares rose 8.76 per cent to $31.90 in after-hours trading in New York.
3.000,Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her.,Burrell said Diana wrote a letter in October 1996 claiming there was a plot to kill her in a smash and gave it to him to keep as insurance.
3.600,Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.
2.200,"""Let's show we won't let them off,"" said Marc Blondel, leader of the Force Ouvriere union.","""The movement to defend pensions is gaining momentum, and we won't give up,"" said Marc Blondel, leader of the Force Ouvriere union."
4.800,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come."
4.000,"Under Mexican law, bounty hunting is considered a form of kidnapping.","Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping."
3.400,The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.,"The submission was on Monday, but the announcement was made Friday at the International Broadcasting Convention in Amsterdam."
3.200,Its keywords are supported by Chinese language Web portals.,"Chinese language Web portals also support 3721 keywords, the Web site said."
2.500,The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.,"Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share."
3.250,"Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.","Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation."
3.800,Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.,Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.
4.400,"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).",HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
3.500,U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.,"The Third Armored Cavalry Regiment recently apprehended about 40 suspected fighters near the Syrian border, officials said."
1.500,"That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.","Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year."
2.800,Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.,"Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread."
3.600,"The A920 comes with a printer, scanner, and copier for $89.","Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89."
4.200,"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said."
3.000,"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","Still, Singapore quarantined 70 people who had been in close contact with the scientist."
3.000,"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said."
1.600,"On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday."
4.000,"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.","The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available."
1.333,"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day."
3.600,"In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.","Joining him in the majority opinion were Justices Sandra Day O'Connor, David H. Souter, Ruth Bader Ginsburg and Stephen G. Breyer."
3.000,"Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.",Martin served two thirds of a five-year sentence for the manslaughter of Barras and for wounding Fearon.
3.000,"IDEC shareholders would own 50.5 percent of the stock of the combined company, and Biogen shareholders the remaining 49.5 percent.",The companies said Idec holders would own about 50.5 percent of the stock of the combined company.
3.500,"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""","""This attack was wrong, and it was dangerous to our goals,"" Raymond said."
4.000,"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.
2.200,"The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday."
3.400,"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94."
3.500,Perry has since called two special legislative sessions to try force the redistricting plan through.,"Since then, Texas Gov. Rick Perry has called two special sessions trying to push the measure through."
4.250,"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.
2.600,Democrats currently hold a 17-15 advantage in the state's congressional delegation.,The Texas congressional delegation now is 17-15 Democratic.
3.000,"Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.","The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001."
2.400,New legit download service launches with PC users in mind.,BuyMusic is the first subscription-free paid download music service for PC users.
3.800,"The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.","The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday."
3.000,"Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.","Last week, his lawyers asked Warner to grant clemency under certain conditions that would have lead to a new sentencing hearing."
3.500,Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.
3.500,"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.""","Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions."""
3.750,"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities."
2.250,The Chelsea defender Marcel Desailly has been the latest to speak out.,"Marcel Desailly, the France captain and Chelsea defender, believes the latter is true."
3.250,She was the only woman in her unit and a member of Teamsters Local 995.,She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.
4.800,"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.",Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk.
3.800,"Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.","Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets."
3.400,But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live."
2.000,Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year.,"Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year."
4.600,"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement.",The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.
3.500,"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","According to the report, average life expectancy has increased by nearly two years since 1990."
3.333,"For the full 12-month period, high-speed cable modem connections increased by 49 percent.","For the full year period ending June 30, 2003, high-speed lines increased by 45 percent."
2.667,We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,Comstock said several federal courts have ruled that the detentions are fully within the law.
3.200,"Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.","Still, Mr. Weill will remain very much a power at the company."
3.800,"Gregory Parseghian, a former investment banker, was appointed chief executive.",Greg Parseghian was appointed the new chief executive.
3.400,"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman"".","The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, as an example of how JI uses marriage to grow."
3.400,The Cradle of Liberty Council isn't the first one to buck the national group's stance.,Philadelphia's council is not the first to defy the national policy.
3.600,"""It''s absurd,"" Funny Cide's trainer Barclay Tagg said.","Meanwhile, Funny Cide's trainer, Barclay Tagg, called the allegations ""ridiculous."""
3.800,"Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.",Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.
1.800,The American conservatives are clearly in the minority within the Episcopal Church.,The letter indicates the Vatican's interest in bolstering conservatives within the Episcopal Church.
3.200,"The New York senator's new book, ""Living History,"" appears a certain bestseller.","Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History."
3.000,"""Canada is a small country, and it needs companies like this, deals like this.""","A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this."""
1.800,Police official S.K. Tonapi told Reuters at least 40 people had been killed and more than 100 wounded.,State interior ministry spokesman Vasant Pitke told Reuters that at least 42 people had been killed and 112 injured.
2.750,"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","He also said Shockey is ""living the dream life of a New York athlete."
1.600,"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen."
2.750,"About 1,557 genes on chromosome 6 are thought to be functional.","The remaining 1,557 genes are believed to be all functional."
3.250,"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.",Production for the second quarter was cut to 46 million barrels from 48 million barrels.
2.250,"U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.",Tikrit is Saddam Hussein's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials.
3.000,"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.","Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote."
3.182,"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.
3.750,"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement."
2.600,Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.
1.250,"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.
2.500,"A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.","The 25 percent hike takes annual UC undergraduate tuition to $4,794 and graduate fees to $5,019."
4.200,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said."
2.600,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.
1.400,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.
3.600,The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields."
3.000,"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania."
3.500,Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10."
5.000,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.
3.000,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.
3.800,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes."
3.800,"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users."
4.222,"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement."
2.500,He was tracked to Atlanta where he was arrested on Tuesday night.,"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off."
5.000,The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.
4.000,It later emerged that he had broken his right thigh and bones in his right wrist and elbow.,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.
3.600,The Senate agreed Tuesday to lift a 10-year-old ban on the research and development of low-yield nuclear weapons.,Both the House and Senate bills would end the ban on research and development of low-yield nuclear weapons.
4.200,Some 95 million Americans -- half of all households -- invest in mutual funds.,About half of all U.S. households have money in mutual funds.
3.400,"The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.","The House has passed bills the past two Congresses, but the Senate has not."
2.600,The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,"But for the elderly and those with weakened immune systems, it can be fatal."
3.600,"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said."
4.000,"Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.",Klarman was arrested by FBI agents Monday morning at his home in New York.
3.500,The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.,"Bishop O'Brien, aged 67, had told police he thought he had hit a dog or cat."
1.500,"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix."""
3.500,"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.","""But at this stage, given the early detection, the outlook in such instances would be positive,"" he said."
1.750,"In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.","In New York, the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 8,585.97."
3.750,"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.","Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003."
4.800,"It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.",Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.
3.400,"Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.","As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States."
2.600,SCO says the pricing terms for a license will not be announced for weeks.,"Details on pricing will be announced within a few weeks, McBride said."
4.400,Sources within the racing industry have told the Daily Bulletin that Fontana will get a second NASCAR race on Labor Day weekend starting next season.,Sources in the racing industry said Fontana will get a second NASCAR race on Labor Day weekend starting next season.
3.600,"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.","The Dow Jones Industrial Average ($DJ: news, chart, profile) rose 56 points, or 0.7 percent, to 8,588."
3.600,"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.","Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002."
4.000,"Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.","Bashir also felt he was being tried by opinion rather than facts of law, he added."
4.500,Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.,"But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects."
5.000,"In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.","In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets."
3.400,"Box cutters were used as a weapon by the Sept. 11, 2001, hijackers and have since been banned as carry-on items.","Box cutters were the weapons used by the 19 hijackers in the Sept. 11, 2001, attacks."
3.750,"On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.",Moore of Alabama says he will appeal his case to the nation's highest court.
3.176,"Southwest said its traffic was up 4.6 percent in the quarter, and it ended the quarter with $2.2 billion in cash.",Southwest said its traffic was up 4.6 percent in the quarter on a capacity increase of 4.2 percent.
