PM ID,Match Class,Notes,Lookup Sentence,Top Yielded Sentence,score,Character length
334232,Very similar,,"group admin is requested to close group for 2days as police can take action against admin & group members vide section 68, 140 & 188 if anyone even by mistake post joke on corona. everyone could be in trouble. hence i draw the attention of group admin to take necessary steps.
is this news true","group admin is requested to close group for 2days as police can take action against admin & group members vide section 68, 140 & 188 if anyone even by mistake post joke on corona. everyone could be in trouble. hence i draw the attention of group admin to take necessary steps.",0.98102,294
303864,Very similar,,"great news! carona virus vaccine ready. able to cure patient within 3 hours after injection. hats off to us scientists.
right now  trump announced that roche medical company will launch the vaccine next sunday, and millions of doses are ready from it !!!
is it true news?","great news! carona virus vaccine ready. able to cure patient within 3 hours after injection. hats off to us scientists.
right now  trump announced that roche medical company will launch the vaccine next sunday, and millions of doses are ready from it !!!",0.97753,271
306483,Very similar,,"*very seriously to think !*

how come russia & north korea are totally free of covid- 19 ?
because they are staunch ally of china.  not a single case reported from this 2 countries. on the other hand south korea / united kingdom / italy / spain and asia are severely hit.

how come wuhan is suddenly free from the deadly virus?

china will say that their drastic initial  measures they took was very stern and wuhan was locked down to contain the spread to other areas.

why beijing was not hit ?
why only wuhan ?","*point to ponder over*

how come russia & north korea are totally free of covid- 19? because they are staunch ally of china. not a single case reported from this 2 countries. on the other hand south korea / united kingdom / italy / spain and asia are severely hit. how come wuhan is suddenly free from the deadly virus? china will say that their drastic  initial  measures they took was very stern and wuhan was locked down to contain the spread to other areas. why beijing was not hit?  why only wuhan? kind of interesting to ponder",0.97745,513
308403,Very similar,,"is it true ?
from tomorrow onwards there are new communication regulations.

all calls are recorded

all phone call recordings saved

whatsapp is monitored

twitter is monitored

facebook is monitored

all social media and forums are monitored

inform those who do not know.

your devices are connected to ministry systems.

take care not to send unnecessary messages

inform your children, relatives and friends about this to take care

​​don't forward any posts or videos etc., you receive  regarding politics/present situation about government/pm etc.​​

police have put out a notification termed ..cyber crime ... and action will be taken...just don't delete ...

inform your friends & others too.

writing or forwarding any msg on any","from tomorrow onwards there are new communication regulations.

all calls are recorded

all phone call recordings saved

whatsapp is monitored

twitter is monitored

facebook is monitored

all social media and forums are monitored

inform those who do not know.

your devices are connected to ministry systems.

take care not to send unnecessary messages

inform your children, relatives and friends about this to take care

​​don't forward any posts or videos etc., you receive  regarding politics/present situation about government/pm etc.​​

police have put out a notification termed ..cyber crime ... and action will be taken...just don't delete ...

inform your friends & others too.

writing or forwarding any msg on any political & religious",0.97740,739
346144,Very similar,,"a few sunny predictions in these gloomy days. remeber you read them here first.

1. by june, india will be the first country to be freed from the clutches of this pandemic.

2. our lockdown, hot weather and our higher immunity levels will see us through.

3. we will be the largest exporters of medicines and the world will look to us for regular supplies of bcg vaccines, anti-malarial drugs hydroxy chloroquinine etc.

4. manufacturing facilities will be set up in india, in preference to china, by corporations from all over the world.100 usa n 200 japanese already leaving fm","*a few sunny predictions in these gloomy days. remember you read them here first.......*

1. by june, india will be the first country to be freed from the clutches of this pandemic.

2. our lockdown, hot weather and our higher immunity levels will see us through.

3. we will be the largest exporters of medicines and the world will look to us for regular supplies of bcg vaccines, anti-malarial drugs hydroxy chloroquinine etc.

4. *manufacturing facilities will be set up in india, in preference to china, by corporations from all over the world.100 usa n 200 japanese already leaving from china",0.97092,579
357657,Very similar,,okay..  thank you so much.  🙏🏻,thank you so much..👌,0.96703,29
316603,Very similar,,"🍋🍵🍋🍵🍋🍵
*in israel no death from c-19 !*
 he told them a super news... this is how it arrived and this is how i send it.
the cure for the c19 virus or the way to eliminate it was achieved.
information comes from israel there this virus did not cause any death.
* the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
🍽️mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body. these two components alkalize the","*in israel no death from c-19!*

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  *the recipe is simple*
 1. *lemon* 🍈
 2. *bicarbonate* 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these two components alkalize the immune system, since",0.96635,519
303678,Very similar,,"tonight from 11:40 pm nobody should be on the street.  doors and windows should remain closed as 5 helicopters spray disinfectants into the air to eradicate the coranavirus.  please process this information to all of your contacts
plz check this news
+91 90131 51515",tonight from 11:40 pm nobody should be on the street.  doors and windows should remain closed as 5 helicopters spray disinfectants into the air to eradicate the coranavirus.  please process this information to all of your contacts,0.96458,266
354618,Very similar,,okay thanks 🙏🙇,"ok, thanks please🙏",0.96395,13
339196,Very similar,,"dear all,

mandate for all:
tonight  12 ( midnight) onwards disaster management act has been implemented across the country. according to this update, apart from the govt department no other citizen is allowed to post any update or share any forward related to corona virus and it being punishable offence.

group admins are requested to post the above update and inform the groups.

 please  adhere this strictly.
https://timesofindia.indiatimes.com/india/centre-in-sc-no-media-should-publish-covid-19-info-without-ascertaining-facts-with-govt/articleshow/74918103.cms","dear all,

mandate for all:
tonight  12 ( midnight) onwards disaster management act has been implemented across the country. according to this update, apart from the govt department no other citizen is allowed to post any update or share any forward related to corona virus and it being punishable offence.

group admins are requested to post the above update and inform the groups.

 please  adhere this strictly.

https://www.livelaw.in/top-stories/centre-seeks-sc-direction-that-no-media-should-publish-covid-19-news-without-first-ascertaining-facts-with-govt-154601",0.96345,569
339784,Very similar,,"*information from patients recovering from the hospital ...*

*_every day we are there:_*

 1. take vit c-1000
 2. vitamin e
 3. 10:00 - 11:00 sunlight for 15-20 minutes.
 4. egg one item
 5. take a rest / get a 7-8 hour min
 6. drink 1.5 l

of water daily and every meal should be warm (not cold).
 that's what we do at the hospital.

 this is to tell all of us that the ph for the coronary virus varies from 5.5 to 8.5

 what we need to do, to defeat the coronary virus, is to consume more alkaline foods above the","information from patients recovering from the hospital ...

 every day we are there:

 1. take vit c-1000
 2. vitamin e
 3. 10:00 - 11:00 sunlight for 15-20 minutes.
 4. egg one item
 5. take a rest / get a 7-8 hour min
 6. drink 1.5 l of water daily and every meal should be warm (not cold).

 that's what we do at the hospital.

 this is to tell all of us that the ph for the coronary virus varies from 5.5 to 8.5

 what we need to do, to defeat the coronary virus, is to consume more alkaline foods",0.96339,516
306030,Very similar,,"🤔 worth pondering!

how come russia & north korea are totally free of covid- 19? because they are staunch al inly of china. not a single case reported from this 2 countries. on the other hand south korea / united kingdom / italy / spain and asia are severely hit. how come wuhan is suddenly free from the deadly virus? china will say that their drastic  initial  measures they took was very stern and wuhan was locked down to contain the spread to other areas. why beijing was not hit?  why only wuhan? kind of interesting to","*point to ponder over*

how come russia & north korea are totally free of covid- 19? because they are staunch ally of china. not a single case reported from this 2 countries. on the other hand south korea / united kingdom / italy / spain and asia are severely hit. how come wuhan is suddenly free from the deadly virus? china will say that their drastic  initial  measures they took was very stern and wuhan was locked down to contain the spread to other areas. why beijing was not hit?  why only wuhan? kind of interesting to ponder",0.96183,525
350740,Very similar,,"donations for corona till now.....

 tata: 1500 crore
wipro:1125 crore
amir khan:250 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
","donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever:  100 crore
azim premji 1115 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1",0.96160,629
335497,Very similar,,ok thank u sir,thank u sir,0.96008,14
344469,Very similar,,"experts are predicting huge down fall of economy due to the corona .
i do not know much about these experts.
but i know for  sure that they do not know anything about the value of human motivation and determined efforts.

if experts were to be believed, after the total destruction in 2nd world war japan had no future. but  the same japan in just 3 decades or so, made us cry at the market place.

if the experts were to be believed, israel should have been wiped out from the world map by the arabs, but the fact is different.

as per","message from mr tata

experts are predicting huge down fall of economy due to the corona .
i do not know much about these experts.
but i know for sure that they do not know anything about the value of human motivation and determined efforts.

if experts were to be believed, after the total destruction in 2nd world war japan had no future. but  the same japan in just 3 decades or so, made us cry at the market place.

if the experts were to be believed, israel should have been wiped out from the world map by the arabs, but the fact",0.95955,536
326582,Very similar,,hi kindly verify this audio,kindly verify this audio,0.95815,27
341285,Very similar,,"information from patients recovering from the hospital ...

 daily

 1. take vit c-1000
 2. vitamin e
 3. 10:00 - 11:00 sunlight for 15-20 minutes.
 4. egg one item
 5. take a rest / get a 7-8 hour min
 6. drink 1.5 l of water daily and every meal should be warm (not cold).
 that's what we do at the hospital.

 this is to tell all of us that the ph for the coronary virus varies from 5.5 to 8.5

 what we need to do, to defeat the coronary virus, is to consume more alkaline foods above the virus's ph level.

","information from patients recovering from the hospital ...

 every day we are there:

 1. take vit c-1000
 2. vitamin e
 3. 10:00 - 11:00 sunlight for 15-20 minutes.
 4. egg one item
 5. take a rest / get a 7-8 hour min
 6. drink 1.5 l of water daily and every meal should be warm (not cold).

 that's what we do at the hospital.

 this is to tell all of us that the ph for the coronary virus varies from 5.5 to 8.5

 what we need to do, to defeat the coronary virus, is to consume more alkaline foods",0.95663,512
317050,Very similar,,sure thank you,"okay
thank you",0.95651,14
309869,Very similar,,"modiji talked to abhijitji pawar (of sakal group) on phone after the national address. clip received just now from shri prataprao pawar, so autentic. interesting discussion.
pls fact chhe","modiji talked to abhijitji pawar (of sakal group) on phone after the national address. clip received just now from shri prataprao pawar, so autentic. interesting discussion.
is this true ?",0.95577,187
332730,Very similar,,"good morning
sir",good morning dear sir,0.95266,16
342009,Very similar,,"thank you do much
thank you so much",thank you so much,0.95153,35
342461,Very similar,,snd me new notification,plz snd me new notification,0.95086,23
311972,Very similar,,"in israel no death from c-19 !

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these",".
he told them a super news ... this is how it arrived and this is how i send it.  the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death
  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these two components alkalize the immune system,",0.95040,490
345952,Very similar,,i want a help,i want help,0.94950,13
311848,Very similar,,"hi rec'd a forwarding today..kindly verify
*well played china....*

*scene 1 :*
the curtain opens: china becomes ill, enters a ""crisis"" and paralyzes its trade.  the curtain closes.

*scene ii.*
the curtain opens: the chinese currency is devalued.  they do not do anything.  the curtain closes.

*scene iii.*
the curtain opens:: due to the lack of trade of companies from europe and the usa that are based in china, their shares fall 40% of their value.

*scene iv.*
the curtain opens:: the world is ill, china buys 30% of the shares of companies in europe and the us at","hi, good morning
*well played china....*

*scene 1 :*
the curtain opens: china becomes ill, enters a ""crisis"" and paralyzes its trade.  the curtain closes.

*scene ii.*
the curtain opens: the chinese currency is devalued.  they do not do anything.  the curtain closes.

*scene iii.*
the curtain opens:: due to the lack of trade of companies from europe and the usa that are based in china, their shares fall 40% of their value.

*scene iv.*
the curtain opens:: the world is ill, china buys 30% of the shares of companies in europe and the us at a very low",0.94945,570
319293,Very similar,,"hi
sir help
please","hi
please help sir",0.94882,18
143277,Very similar,,happy new years,happy new year,0.94575,15
316969,Very similar,,"an open letter to the prime minister of india / chief justice of india and chief ministers of all the states:

from the past few weeks, i have been reading and listening to various low level newspapers, tik-toks, facebook posts, etc. blaming the nris for the outbreak and spread of corona in india and i would like your kind attention to this alarming situation. i would request you to take necessary precautions under law of the land to stop the spread of these negative publications and posts and penalize the guilty as they are spreading this in the community like a","an open letter to the prime minister of india / chief justice of india and chief ministers of all the states:

from the past one week i am reading and listening to various low level newspapers, tik-tok, facebook posts etc. blaming the nri's for the outbreak and spread of corona in india and would like your kind attention to this grim situation. i would request you to take necessary measures under laws of the land to stop the spread of this hatred publications and posts and penalize such people and organizations as they are spreading this in the community like virus.",0.94558,569
308095,Very similar,,is it true.,is it is true,0.94445,11
322460,Very similar,,"*information*


all honorable members of the group are informed that right now any post related to corona virus has been declared a punishable offense by the central government, only a government agency can post on corona. on posting the wrong post or message, the members of the entire group including the group administrator will be registered under the it act and action will be taken, so keep in mind be safe!

ravi nayak
principal secretary
ministry of home affairs, government of india","*information*


all honorable members of the group are informed that right now any post related to corona virus has been declared a punishable offense by the central government, only a government agency can post on corona.  in case of wrong post or message, action will be taken against the members of the entire group including the group administrator by registering a lawsuit under the it act, so keep in mind be safe!

 *ravi nayak*
 *principal secretary*
 *ministry of home affairs, government of india*

can u verify its authentication please",0.94244,491
338450,Very similar,,no response given by you,no reply from you.,0.94201,24
319161,Very similar,,"*in israel no death from c-19!*

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel death rate is very low

  *the recipe is simple*
 1. *lemon* 🍈
 2. *bicarbonate* 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these two components alkalize the immune system, since when night falls","*in israel no death from c-19!*

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  *the recipe is simple*
 1. *lemon* 🍈
 2. *bicarbonate* 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these two components alkalize the immune system, since",0.94157,533
356649,Very similar,,very very thanks 👍,thank you very much 🙏🙏🙏🙏,0.93564,18
329840,Very similar,,"ok
what is your name",what is your name ?,0.93540,20
340822,Very similar,,thanks for your response,thank you for your reply.,0.93333,24
307003,Very similar,,"🛑 *all.. read it carefully* 🛑pune carona case

patient name: anita vikas gorad
age: 41 years, gender: female
no comorbidities
occupation: anganwadi sevika at varasgaon
family: husband vikas gorad
daughter priya vikas gorad
son: abhishek vikas gorad

case history:
3rd march- travel to vashi in cab for wedding. 1500 guests at wedding, no-one had h/o foreign travel as per husband.
4th march- return back to pune by same cab. taxi driver questioned- no h/o airport pickup/foreigner traveller in month of february. he is asymptomatic.

6th march- travel to velha for meeting. unknown number of contacts there.

7th march- asymptomatic

8th march- sore throat, dry cough. no relief with inhalation and","patient name: anita vikas gorad
age: 41 years, gender: female
no comorbidities
occupation: anganwadi sevika at varasgaon
family: husband vikas gorad
daughter priya vikas gorad
son: abhishek vikas gorad

case history:
3rd march- travel to vashi in cab for wedding. 1500 guests at wedding, no-one had h/o foreign travel as per husband.
4th march- return back to pune by same cab. taxi driver questioned- no h/o airport pickup/foreigner traveller in month of february. he is asymptomatic.

6th march- travel to velha for meeting. unknown number of contacts there.

7th march- asymptomatic

8th march- sore throat, dry cough. no relief with inhalation and gargles. was at home all day.
9th",0.93328,698
315901,Very similar,,verify this video,please verify this video.,0.93095,17
293796,Very similar,,thank you soo much,thanks so much.,0.93010,18
354796,Very similar,,"very important information about arogya setu app.

let me explain you that how arogya setu app works and can prevent spreading covid19

most of you might have unistalled the app thinking that it is waste or no effective use.

so i urge people to install or install again who installed earlier

now see...

this app asks you like do you have cough, fever, breathing issue etc.

for sure 99% will write answer as no

now you will be shown in green zone and you might think you are safe and app is waste.

this app asks you to turn on gps and bluetooth

you should kept on always,","good morning.

very important message:

let me explain to you that how arogya setu app works and can prevent spreading covid19

most of you might have unistalled the app thinking that it is waste or no effective use.

so, i urge people to instal; and, or instal again, who installed earlier

now, see...

this app asks you like do you have cough, fever, breathing issue etc.

for sure 99% will write answer as no.

now, you will be shown in green zone and you might think you are safe and app is waste.

this app asks you to turn on gps and bluetooth

you should keep it on always; &,",0.93009,577
343405,Very similar,,"hii
please help me",hello please help me,0.92974,18
297042,Very similar,,good morning dear sir,hello sir good morning,0.92960,21
305688,Very similar,,i m waiting for your reply,i am  waiting  for reply,0.92951,26
305268,Very similar,,"ok.
thanku so much..",thanks so much.,0.92854,20
293194,Very similar,,"kya ye news galat hai
thank you for your message. we're unavailable right now, but will respond as soon as possible.","hii
thank you for your message. we're unavailable right now, but will respond as soon as possible.",0.92836,116
342387,Very similar,,"whatsapp group admin got arrested in mumbai .. for sharing corona jokes
is it true ?",whatsapp group admin got arrested in mumbai .. for sharing corona jokes,0.92768,84
347023,Very similar,,thank you sar,ok sar thanks sar,0.92543,13
303995,Very similar,,"interesting conspiracy theory: did the chinese just win world war iii without firing one bullet?

now here is an interesting conspiracy theory if you want:
impact of coronavirus on stock exchanges worldwide, within 1 month:

 🇺🇸 -26%
 🇬🇧 -26%
 🇨🇦 -25%
 🇧🇷 -27%
 🇷🇺 -20%
 🇦🇪 -19%
 🇿🇦 -16%
 🇦🇺 -24%
 🇮🇳 -14%
 🇸🇬 -17%
 🇭🇰 -12%
 🇰🇷 - 17%

now, look at this:

 🇨🇳 (china) + 0,3%

china, creator of the pandemic, has miraculously ""recovered"", has almost no more cases of coronavirus.  the world is now beginning to feel the effects and panic about the disease.  who recovered first","now here is an interesting conspiracy theory if you want:
impact of coronavirus on stock exchanges worldwide, within 1 month:

 🇺🇸 -26%
 🇬🇧 -26%
 🇨🇦 -25%
 🇧🇷 -27%
 🇷🇺 -20%
 🇦🇪 -19%
 🇿🇦 -16%
 🇦🇺 -24%
 🇮🇳 -14%
 🇸🇬 -17%
 🇭🇰 -12%
 🇰🇷 - 17%

now, look at this:

 🇨🇳 (china) + 0,3%

china, creator of the pandemic, has miraculously ""recovered"", has almost no more cases of coronavirus.  the world is now beginning to feel the effects and panic about the disease.  who recovered first ??  china itself!  it seems to be that this virus was a",0.92484,562
362016,Very similar,,i don't get any answers.,i did not get an answer,0.92426,24
322698,Very similar,,true or false,"hey
true or false",0.92366,13
312086,Very similar,,"is it true
please confirm",please confirm if this is true?,0.92358,25
302895,Very similar,,thankyou so much🙏🏻,thank you. 👏👏,0.92291,17
197322,Very similar,,i want help,hello i want help,0.92170,11
