PM ID,Match class,Notes,Database-Stored Sentence,Top Yielded Sentence,score
332641,Very similar,,"*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
fact-check please","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
please check..",0.978171
282015,Very similar,,"भारत सरकार
government of india
कार्मिक, लोक शिकायत और पेंशन मंत्रालय
ministry of personnel, public grievances & pensions




eng
logo
cpgrams
swachha

rating
registration number
pmopg/e/2020/0072748
rating
1
poor
comments
srimaan pm mahoday mere bodys me abhi tak pura systems laga huaa hai mai bharat sarkar or bihar sarkar ke sabhi agency ko challenge deta hu ki mere duara diye gaye koyi bhi applications sena me rahte samay or baad me diye gaye application mere brain ke under machine ke duara nikala gaya usi ghatna ka application diya hu mai phir se live narko test ya koyi bhi test live kara ker saari ghatna ko sabit kiya ga sakta hai mahoday se mai binarm nibedan","भारत सरकार
government of india
कार्मिक, लोक शिकायत और पेंशन मंत्रालय
ministry of personnel, public grievances & pensions




eng
logo
cpgrams
swachha

rating
registration number
pmopg/e/2020/0031527
rating
1
poor
comments
srimaan pm mahoday mere bodys me abhi tak pura systems laga huaa hai mai bharat sarkar or bihar sarkar ke sabhi agency ko challenge deta hu ki mere duara diye gaye koyi bhi applications sena me rahte samay or baad me diye gaye application mere brain ke under machine ke duara nikala gaya usi ghatna ka application diya hu mai phir se live narko test ya koyi bhi test live kara ker saari ghatna ko sabit kiya ga sakta hai mahoday se mai binarm nibedan",0.962126
341640,Very similar,,"is this a fact ?👇
from tomorrow onwards there are new communication regulations in india.

*1.* all calls are recorded

*2.* all phone call recordings saved

*3.* whatsapp is monitored

*4.* twitter is monitored

*5.* facebook is monitored

*6.* all social media and forums are monitored

*7.* inform those who do not know.

*8.* your devices are connected to ministry systems.

*9.* take care not to send unnecessary messages

*10.* inform your children, relatives and friends about this to take care

*11.* ​​don't forward any posts or videos etc., you receive regarding politics/present situation about government/pm etc.​​

*12.* police have put out a notification termed *cyber crime* and action will be taken. so","from tomorrow onwards there are new communication regulations in india.

*1.* all calls are recorded

*2.* all phone call recordings saved

*3.* whatsapp is monitored

*4.* twitter is monitored

*5.* facebook is monitored

*6.* all social media and forums are monitored

*7.* inform those who do not know.

*8.* your devices are connected to ministry systems.

*9.* take care not to send unnecessary messages

*10.* inform your children, relatives and friends about this to take care

*11.* ​​don't forward any posts or videos etc., you receive regarding politics/present situation about government/pm etc.​​

*12.* police have put out a notification termed *cyber crime* and action will be taken. so just don't delete ......

*13.*",0.956429
331556,Very similar,,"a forward in *world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
fact check the above🖕🏼","check its authenticity
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).",0.953302
319460,Very similar,,what about this ?,how about this ?,0.952181
315714,Very similar,,"massage is viral plz fact check


in israel no death from c-19 !

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely","in israel no death from c-19 !

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these",0.920203
312486,Very similar,,please check it.,please check it,0.910580
300384,Very similar,,"now here is an interesting conspiracy theory if you want:
impact of coronavirus on stock exchanges worldwide, within 1 month:

 🇺🇸 -26%
 🇬🇧 -26%
 🇨🇦 -25%
 🇧🇷 -27%
 🇷🇺 -20%
 🇦🇪 -19%
 🇿🇦 -16%
 🇦🇺 -24%
 🇮🇳 -14%
 🇸🇬 -17%
 🇭🇰 -12%
 🇰🇷 - 17%

now, look at this:

 🇨🇳 (china) + 0,3%

china, creator of the pandemic, has miraculously ""recovered"", has almost no more cases of coronavirus.  the world is now beginning to feel the effects and panic about the disease.  who recovered first ??  china itself!  it seems to be that this virus was a","believe it or not *****************************now here is an interesting conspiracy theory if you want:
impact of coronavirus on stock exchanges worldwide, within 1 month:

 🇺🇸 -26%
 🇬🇧 -26%
 🇨🇦 -25%
 🇧🇷 -27%
 🇷🇺 -20%
 🇦🇪 -19%
 🇿🇦 -16%
 🇦🇺 -24%
 🇮🇳 -14%
 🇸🇬 -17%
 🇭🇰 -12%
 🇰🇷 - 17%

now, look at this:

 🇨🇳 (china) + 0,3%

china, the creator of the pandemic, has miraculously ""recovered"", has almost no more cases of coronavirus.  the world is now beginning to feel the effects and panic about the disease.  who recovered first ??  china itself!  it seems to be",0.910183
336869,Very similar,,please check  fact,please check the fact,0.906245
333213,Somewhat similar,,"hello
good afternoon",hello good evening,0.905598
345764,Very similar,,"hi
i want help",hello i want help,0.904512
328429,Very similar,,"camera

attachment sent by the user was redacted, file extension ""apk"" not accepted.","base.apk

attachment sent by the user was redacted, file extension ""apk"" not accepted.",0.900636
331372,Very similar,,i am waiting for your response,i m waiting for your reply,0.899328
297566,Very similar,,is it true or fake.,is this true or fake?,0.898737
295657,Very similar,,"hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am.... as their will be spraying medicine in the air in order to kill the covid-19!!
share this information to all your friends,relatives and your families only in bangalore...
thank you! frm bbmp","hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am.... as their will be spraying medicine in the air in order to kill the covid-19!!
share this information to all your friends,relatives and your families...
thank you!",0.898176
354735,Very similar,,please give reply,please give me answer,0.897465
328939,Very similar,,"hi
hello, thank you for your message. we're not here right now, but will respond as soon as we return.","hello
hello, thank you for your message. we're not here right now, but will respond as soon as we return.
sir / madam",0.897268
340571,Very similar,,sir please help us,"sir
please help",0.894912
312895,Very similar,,thank u so much,thank you so much,0.893234
141595,Very similar,,good night sweet dreams jai shri krishna,good night sweet dreams jai shri krishna jai shri ram🙏,0.887873
162747,Very similar,,"asking for votes on religious basis is indeed against the code of conduct issued by election commission of india.

bjp leadership must take up with eci for disqualifying aap candidate 🙏🙏🙏🌹🌹🌹","asking for votes on religious basis is indeed against the code of conduct issued by election commission of india.

bjp leadership must take up with eci for disqualifying aap candidate 🙏🙏🙏🌹🌹🌹
asking for votes on religious basis is indeed against the code of conduct issued by election commission of india.

bjp leadership must take up with eci for disqualifying aap candidate 🙏🙏🙏🌹🌹🌹",0.885521
349047,Very similar,,can i send video,can i send you a video,0.885406
312760,Very similar,,"good afternoon, super news ... it arrived and i send it.  virus cure was achieved.  from israel, country blessed by god, the virus does not cause concern ...
  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter bicarbonate ta immediately kills the virus 🦠, eliminates it completely from the body.  these two components alkalize the immune system, since when night falls the system becomes acidic and defenses lower.
 that is why the people of",".
he told them a super news ... this is how it arrived and this is how i send it.  the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death
  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these two components alkalize the immune system,",0.884356
243076,Very similar,,hello sir good morning,hi..... sir good morning,0.884330
138044,Not similar,,"💍💍sleeping  ga dose🍒

❣❣❣❣❣❣❣❣❣❣❣❣

 ✍ fish yojana- pmmsy(pradhan mantri matsya sampada yojana)

❣❣❣❣❣❣❣❣❣❣❣❣

 ✍suyoz 2.1- russia

❣❣❣❣❣❣❣❣❣❣❣

✍lal bahadur shastri statue- varanasi

❣❣❣❣❣❣❣❣❣❣❣

 ✍civil aviation centre- chandigarh


❣❣❣❣❣❣❣❣❣❣❣

✍hemis festival- j&k


❣❣❣❣❣❣❣❣❣��❣

 ✍wimbledon men's title- novak kjokovic

❣❣❣❣❣❣❣❣❣❣❣

✍ risk can't avoid- systematic risk

❣❣❣❣❣❣❣❣❣❣❣

✍sfio- fraud(serious fraud investigation office)

❣❣❣❣❣❣❣❣❣❣

✍hanoi- capital of vietnam


❣❣❣❣❣❣❣❣❣

✍elephant bond- infrastructure

❣❣❣❣❣❣❣❣❣❣

 ✍ pcr- public credit registry

 ❣❣❣❣❣❣❣❣❣

✍housing finance regulator- rbi

❣❣❣❣❣❣❣❣❣❣

 ✍bharat financial inclusion- microfinance company

❣❣❣❣❣❣❣❣❣❣

 ✍national cricket academy- bengaluru

❣❣❣❣❣❣❣❣❣❣

✍ nokrek national park- meghalya


❣❣❣❣❣❣❣❣❣❣

✍multi skill development center- chandigarh

❣❣❣❣❣❣❣❣❣❣

✍-ajay singh is associated with – weightlifting

❤️❣❣❣❣❣❣❣❣

✍- kawal tiger reserve-- telangana

❣❣❣❣❣❣❣❣❣❣❣","❣❣❣ga dose 1❣❣❣

✍.yoga day theme -yoga for climate action


🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓
✍ugc stride for -research related

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍.fugdi folk dance- goa

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍.raman magsaysay award  2019- ravish kumar

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍tadoba np maharashtra

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍uefa champions league 2019 won by liverpool f.c

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍cic stands for core investing companies

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍hemis dance by ladakh j&k

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍audacity of hope book by barack obama

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍.kaleshwaram lift irrigation project by telengana

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍uk sinha committee for msme loans

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍sunrise 2 military operation between india and myanmar


🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍niti ayog health index top state- kerala

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓
✍adb hq- manila, philippines


🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍mclr stands for marginal cost for funds based lending rate


🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍institute for economics & peace (iep) hq- sydney, australia


🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍chairman of sebi- ajay tyagi


🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍wimbledon 2019 men's singles-novak djokovik

🎓🎓🎓🎓🎓🎓🎓🎓🎓🎓

✍.bricks summit 2019- brazil

❣❣❣❣❣❣❣❣❣❣❣",0.883522
345361,Very similar,,", please watch this video",please check this video,0.882961
303453,Very similar,,"the 5pm clapping prime minister has asked us to do is extremely interesting.
at that time moon is passing to a new 'nakshatra' called revati.
the playing of bells and clapping: the cumulative vibration will encourage blood circulation in the body. .
it's the reason they used to have huge, gong-like bells in old shakti temples .
22nd march is amavasya, darkest day in a month. all virus, bacteria and evil forces have maximum potential and power on such days. 5 pm- clapping,  shankh nada etc by 130 crore people at the same time will create so much vibrations that virus","the 5pm clapping  modi asked us to do is extremely interesting. someone i know who's studied astrology and knows how to corelate with science.
at that time moon is passing to a new 'nakshatra' called revati.
the playing of bells and clapping: the cumulative vibration will encourage blood circulation in the body. .
it's the reason they used to have huge, gong-like bells in old shakti temples on the mountains.
someone very knowledgeable is guiding modi abt this. hope it works.  22nd march is amavasya, darkest day in a month. all virus, bacteria and evil forces have maximum potential",0.879489
316405,Very similar,,thank you so much🙏,thank you so much..👌,0.877105
327525,Very similar,,hello sir & mam,hello sir/ mam,0.876081
278838,Very similar,,"“if pandit nehru had spent ₹ 3,000/- crores to build a 182 metre tall statue, instead of creating and building i i t kharagpur; i would have been selling pakodas on trains today...""

~ arvind kejriwal
can you just fact check this quote? please","i love this one !

“if pandit nehru had spent ₹ 3,000/- crores to build a 182 metre tall statue, instead of creating and building i i t kharagpur; i would have been selling pakodas on trains today...""

~ arvind kejriwal",0.875817
345826,Very similar,,"ok, thanks sir.","ok
thanks sir",0.875512
306779,Very similar,,"sharing this because i completely agree with this post.

“dear pm & cm,

 you have declared a complete closure till 31st march & are requesting all to keep the offices, shops & factories closed. also you are urging the entrepreneurs to show sympathy towards the needful employees and pay them. which we will do anyways. to us, our people are our family.

 we need to understand what are you thinking about the owners? do they have a money plant showering money. because the closure has been announced & the businesses are on a total standstill how will the entrepreneurs survive?

 salaries","dear pm & cm,

you have declared a complete closure till 31st march & are requesting all to keep the offices, shops & factories closed. also you are urging the businessmen to show sympathy towards the needful employees and pay them.

we need to understand what are you thinking about the owners? do they have a money plant showering money. because the closure has been announced & the businesses are on a total standstill how will the businessman survive?

salaries - on,

electricity bill - on,

taxation deadlines - on,

bank interest - on,

gst penalties - on.

there is no relief for us. we don’t mind sitting",0.870286
322733,Very similar,,what about this,what about this ?,0.867211
312504,Very similar,,"any update
?",latest update ?,0.867011
150948,Very similar,,"lebanon is gone & lost
 (i'm genuinely sorry for it),
let's keep india safe.
************************************************

*india, learn from lebanon !*
************************************

by seshan iyer

.

*why caa and nrc are the last chance for india's existence - hindus please read carefully*


lebanon –
a glaring example of what can go wrong..

in the 1970’s, lebanon was called 'paradise' and its capital beirut was the 'paris of the east'.
the lebanese christians are some of the oldest christians in the world, preceded only by the oriental orthodox of armenia and copts of egypt.
lebanon was a progressive, tolerant and multi-cultural society, just like india is today.
lebanon had some of","*why caa and nrc are the last chance for india's existence hindus please read carefully*

*lebanon a glaring example of what can go wrong*

in the 1970’s, lebanon was called 'paradise' and its capital beirut was the 'paris of the east'.
the lebanese christians are some of the oldest christians in the world, preceded only by the oriental orthodox of armenia and copts of egypt.

lebanon was a progressive, tolerant and multi-cultural society, just like india is today.

lebanon had some of the best universities in the middle east, where children from all over arabia used to come to study. and then they used to",0.866830
297338,Very similar,,"hello
hello
hello
please","hello
hello
hello",0.866707
189575,Very similar,,"*kerala will be next kashmir* 😱😱😱the situation in kerala is scarier than you think!
*islam above nation*
islamists have distorted the indian national anthem to a payer song of muhammed nabi & sing that during  flag hoisting instead national anthem .

can this be reality  ???
this is the forwarded message","the situation in kerala is scarier than you think!
*islam above nation*
islamists have distorted the indian national anthem to a payer song of muhammed nabi & sing that during  flag hoisting instead national anthem 👇",0.865876
329527,Somewhat similar,,i like you aaj tak,love you aaj tak,0.865152
325289,Very similar,,thank u so much for your quick response,thank you for your prompt response,0.864717
324540,Very similar,,no reply .....,no one reply.....,0.863894
309580,Very similar,,"dear *prime minister*,
*finance minister,*
*chief minister, *
& *finance secretary*

you have declared a complete closure till 15th april & are requesting all to keep the offices, shops & factories closed. also you are urging the businessmen’s to show sympathy towards the needful employees n pay them.

we would like to understand what are you thinking about the owners? how are you planning on supporting the business class from whom you are demanding this sacrifice?

because the closure has been announced & the businesses are on a total standstill how will they survive? salaries - on, electricity bill - on, taxation -","dear pm & cm,

you have declared a complete closure till 31st march & are requesting all to keep the offices, shops & factories closed. also you are urging the businessmen to show sympathy towards the needful employees and pay them.

we need to understand what are you thinking about the owners? do they have a money plant showering money. because the closure has been announced & the businesses are on a total standstill how will the businessman survive?

salaries - on,

electricity bill - on,

taxation deadlines - on,

bank interest - on,

gst penalties - on.

there is no relief for us. we don’t mind sitting",0.863307
172088,Very similar,,"good morning ,all indians = i am anil taak >>> today 's my questions (1) when we celebrate national voter day ? (2) who is the cm of tripura state ? (3) who is the pm of japan ?","good morning , all indians = i am anil taak >> today 's my questions = (1) what is the full form of caa ? (2) when we celebrate national army day ? (3) who is the deputy governer of delhi ?",0.861955
138374,Somewhat similar,,hi sir need help,hello sir i need ur help,0.859562
351310,Not similar,,"hotspot location
***********************
belghoria
dumdum( *chasipara* rn  guha road, am bose road )
dumdum stn
saltlake part
ultadanga
bhupen bose avenue
bowbazar
metiaburz
maheshtala
gardenreach
panditiya road
alipur
bhawanipur
mudiali
burabazar
howrah north + south + east west
nayabad
lowdon street
tollygung golf club
anwarshah road
birati
parts of new barrackpore
parts of madhyamgram

*hotspot of kolkata municipal (kmc) wards -*
3, 4,5,7 to 30, 36 to 43, 49, 53 to 55, 58 to 64, 66, 69 to 77, 81 to 88, 90, 109, 118 & 119

*hotspot of saltlake zones -*
ward no. 32 - ed, ee, dl
ward no. 41 - aa, ab, ac, ad, bb, bc, bd

*these ward/s will be sealed for next two weeks & there will be no-entry & exit.*","list of sealed areas in delhi :-
1.	entire effected street near gandhi pqrk, malviya nagar, new delhi
	2.	entire effected street of gali no 6 , l 1 sangam vihar, new delhi.
	3.	shahajahanabad society, plot no 1, sector 11, dwarka.
	4.	dinpur village
	5.	markaz masjid and nizamuddin basti
	6.	nizamuddin west (g and d block) areas.
	7.	b block jhangirpuri.
	8.	h. no 141 to h. no 180, gali no. 14, kalyanpuri delhi
	9.	mansara appartments , vasundhara enclave, delhi
	10.	3 galis of khichirpur including gali containing h. no. 5/387 khichirpur delhi
	11.	gali no 9, pandav nagar , delhi 110092.
	12.	vardhaman appartments , mayur vihar, phase i , extension, delhi
	13.	mayurdhwaj appartments , i p extension, patparganj, delhi
	14.	gali",0.856317
316708,Very similar,,i have received this msg right now please check. is it right,i received this msg please check is this right,0.856239
260337,Very similar,,"hi
ok
i want help",hello i want help,0.855340
338683,Very similar,,sir please check the video,please check video,0.855296
298206,Very similar,,thank u so much...,thank you so much..,0.854821
280172,Very similar,,"hii
hii
hii
hii","hij
hii
hii
hii",0.854261
352268,Not similar,,dear sir this message has forwards  to.d.n.nagar police station of andheri west and also ot beatofficer  and to p.r.o. officer to d.n.nagarpolice station  in yhey whatsapp  the message and video clips  but no amy police constables or officer has not come up till now the time is..11.15.am.the date 17/04/2020up till now the market is open  in this area andheri west v.p.road khoja jammat khana area gaon devi donger andheri west,dear sir this video clips of andheri v.p.road khoja jammat khana area and also gaon devi donger area andheri  &total andheri market is close  no any shop is not open no any  vegtable seller are not there but here in our area no any social distances are not there no any distances  of q is no there in chicken shop also no social distanceare not maintain  is not there in our area andheri west v.p.road khoja jammat khana area andheri west gaon devi donger this video cilp of today the date is .17/04/2020 thime is,0.853940
345235,Very similar,,hello mam/ sir,hello sir/ mam,0.853746
319553,Very similar,,"hello sir/ mam
🙏🏻",hello sir/mam 🙏,0.852711
320017,Not similar,,"👏🏻lock down is working 👏🏻

*in the last 7 days:*
1. march 21st ( 283 cases  ) -
march 22nd ( 396 cases )
increase by 39.92 %f

2. march 22nd ( 396 cases  ) -
march 23rd ( 468 cases )
increase by 18.18 %

3. march 23rd ( 468 cases  ) -
march 24th ( 566 cases )
increase by  23.43 %

4. march 24th ( 566 cases  ) -
march 25th ( 645 cases )
increase by  13.95 %

5. march 25th ( 645 cases  ) -
march 26th ( 720 cases )
increase by just 11.62 %

6. march 26th (","italy reported its first two cases on 30 jan.
total of only 4 cases on 21 feb.
total of 20 cases, on 22 feb, the next day.
23 feb (79),
24 feb (>150),
25 feb (322),
26 feb (400),
27 feb (655),
28 feb (888),
01 mar (1577),
02 mar (1835),
03 mar (2263),
05 mar (3858),
06 mar (4636),
08 mar (7375 - 366 deaths - clampdown of northern italy 16 million people),
09 mar (9172 - 463 deaths - countrywide lockdown)
10 mar (10149 - 631 deaths)
11 mar (12462 - 827 deaths)
13 mar (15000 -1400 deaths)
look at this. from just",0.852639
329472,Very similar,,india today group,hi india today group,0.850920
338800,Very similar,,"finally fbi arrested a professor from boston university who was in connection with chinese university and research lab in wuhan, and was highly paid by china.......now it is very close to clear that corona virus is a bio attack planned and conducted by china.
 - a chinese expert assures everybody that inhalation of a steam from hot water kills corona virus 100 percent. even if the virus entered the nose, throat or lungs. corona virus can not stand the hot water steam...
please circulate this information to all your family members and friends.","finally fbi arrested a professor from boston university who was in connection with chinese university and research lab in wuhan, and was highly paid by china.......now it is very close to clear that corona virus is a bio attack planned and conducted by china.
error: media is too large",0.850886
